Id,Name,DayTrend30,Members
12424,3rd age bow,+0.0%,true
10342,3rd age mage hat,+6.0%,true
10348,3rd age platebody,+11.0%,true
10346,3rd age platelegs,+8.0%,true
13263,Abyssal bludgeon,+7.0%,true
11095,Abyssal bracelet(5),+0.0%,true
13265,Abyssal dagger,+0.0%,true
4151,Abyssal whip,+1.0%,true
1317,Adamant 2h sword,+1.0%,false
1371,Adamant battleaxe,+2.0%,false
9143,Adamant bolts,+4.0%,true
9297,Adamant bolts (p+),+0.0%,true
9304,Adamant bolts (p++),+1.0%,true
9380,Adamant bolts(unf),+6.0%,true
4129,Adamant boots,+4.0%,true
4798,Adamant brutal,+3.0%,true
1111,Adamant chainbody,+2.0%,false
3100,Adamant claws,+11.0%,true
1211,Adamant dagger,+10.0%,false
5694,Adamant dagger(p++),+2.0%,true
823,Adamant dart tip,+0.0%,true
5633,Adamant dart(p+),+3.0%,true
5640,Adamant dart(p++),+6.0%,true
1161,Adamant full helm,+1.0%,false
3200,Adamant halberd,+10.0%,true
11375,Adamant hasta,+1.0%,true
19578,Adamant javelin heads,+13.0%,true
835,Adamant javelin(p),+2.0%,true
5646,Adamant javelin(p+),+4.0%,true
1199,Adamant kiteshield,+0.0%,false
875,Adamant knife(p),+6.0%,true
5659,Adamant knife(p+),+4.0%,true
5666,Adamant knife(p++),+5.0%,true
1301,Adamant longsword,+2.0%,false
1430,Adamant mace,+8.0%,false
1145,Adamant med helm,+5.0%,false
1123,Adamant platebody,+0.0%,false
1073,Adamant platelegs,+2.0%,false
13012,Adamant set (lg),+0.0%,false
13014,Adamant set (sk),+0.0%,false
1245,Adamant spear,+1.0%,true
5712,Adamant spear(p+),+2.0%,true
5726,Adamant spear(p++),+8.0%,true
1183,Adamant sq shield,+2.0%,false
804,Adamant thrownaxe,+8.0%,true
2361,Adamantite bar,+2.0%,false
449,Adamantite ore,+22.0%,false
7198,Admiral pie,+4.0%,true
12881,Ahrim's armour set,+19.0%,true
4708,Ahrim's hood,+1.0%,true
4860,Ahrim's hood 0,+4.0%,true
4714,Ahrim's robeskirt,+20.0%,true
4878,Ahrim's robeskirt 0,+22.0%,true
4712,Ahrim's robetop,+21.0%,true
4872,Ahrim's robetop 0,+22.0%,true
1397,Air battlestaff,+0.0%,true
5527,Air tiara,+25.0%,false
4436,Airtight pot,+10.0%,true
21347,Amethyst,+0.0%,true
21326,Amethyst arrow,+12.0%,true
21334,Amethyst arrow(p+),+1.0%,true
21336,Amethyst arrow(p++),+20.0%,true
21350,Amethyst arrowtips,+5.0%,true
21338,Amethyst bolt tips,+0.0%,true
21318,Amethyst javelin,+11.0%,true
21352,Amethyst javelin heads,+1.0%,true
21320,Amethyst javelin(p),+4.0%,true
21322,Amethyst javelin(p+),+4.0%,true
21324,Amethyst javelin(p++),+4.0%,true
21160,Amulet of bounty,+4.0%,true
19707,Amulet of eternal glory,+8.0%,true
1704,Amulet of glory,+0.0%,true
1727,Amulet of magic,+8.0%,false
1725,Amulet of strength,+1.0%,false
12851,Amulet of the damned (full),+19.0%,true
19553,Amulet of torture,+7.0%,true
21018,Ancestral hat,+32.0%,true
21024,Ancestral robe bottom,+9.0%,true
21021,Ancestral robe top,+7.0%,true
21049,Ancestral robes set,+10.0%,true
319,Anchovies,+14.0%,false
2297,Anchovy pizza,+6.0%,false
12490,Ancient bracers,+25.0%,true
12494,Ancient chaps,+49.0%,true
12492,Ancient d'hide,+11.0%,true
19921,Ancient d'hide boots,+8.0%,true
13171,Ancient dragonhide set,+15.0%,true
21807,Ancient emblem,+0.0%,true
12621,Ancient page 1,+15.0%,true
12622,Ancient page 2,+27.0%,true
12623,Ancient page 3,+6.0%,true
12624,Ancient page 4,+2.0%,true
12462,Ancient platelegs,+3.0%,false
12464,Ancient plateskirt,+2.0%,false
12195,Ancient robe legs,+11.0%,true
21813,Ancient statuette,+0.0%,true
12201,Ancient stole,+47.0%,true
21810,Ancient totem,+0.0%,true
22246,Anguish ornament kit,+8.0%,true
12775,Annakarl teleport,+10.0%,true
1540,Anti-dragon shield,+5.0%,false
11475,Anti-poison supermix(1),+9.0%,true
